instance,n,scenario_file,scenario_type,n_failures,n_actions,target_total,target_achieved,target_recovery_pct,nominal_profit,adaptive_profit,profit_loss_pct,nominal_time,adaptive_time,time_diff_pct,nominal_score,adaptive_score,score_loss_pct,n_bypass,n_change_tool,n_destroy,n_replan,n_fallback,n_destroyed_comps,n_skipped_comps,grasp_time,adapt_time,error
scholl_mukherje_n=94,94,scenario_complex_scholl_mukherje_n=94.json,complex,3,3,1,1,100.0,1795.0,1744.0,2.8,3724.0,3694.0,0.8,585.92,571.44,2.5,1,1,1,0,0,1,1,0.345,0.482,
scholl_mukherje_n=94,94,scenario_intermediate_scholl_mukherje_n=94.json,intermediate,2,2,1,1,100.0,1795.0,1756.0,2.2,3724.0,3554.0,4.6,585.92,573.49,2.1,2,0,0,0,0,0,2,0.381,0.038,
scholl_mukherje_n=94,94,scenario_simple_scholl_mukherje_n=94.json,simple,1,1,1,1,100.0,1795.0,1795.0,0.0,3724.0,3724.0,0.0,585.92,585.92,0.0,0,1,0,0,0,0,0,0.341,0.014,
scholl_roszieg_n=25,25,scenario_complex_scholl_roszieg_n=25.json,complex,2,2,1,1,100.0,262.0,260.0,0.8,88.0,85.0,3.4,87.04,86.38,0.8,1,1,0,0,0,0,1,0.095,0.027,
scholl_roszieg_n=25,25,scenario_intermediate_scholl_roszieg_n=25.json,intermediate,2,2,1,1,100.0,262.0,258.0,1.5,88.0,87.0,1.1,87.04,85.71,1.5,1,1,0,0,0,0,1,0.081,0.031,
scholl_roszieg_n=25,25,scenario_simple_scholl_roszieg_n=25.json,simple,1,1,1,1,100.0,262.0,262.0,0.0,88.0,88.0,0.0,87.04,87.04,0.0,0,1,0,0,0,0,0,0.041,0.026,
scholl_tonge70_n=70,70,scenario_complex_scholl_tonge70_n=70.json,complex,3,5,2,2,100.0,779.0,729.0,6.4,2424.0,2217.0,8.5,251.59,235.61,6.4,0,1,2,0,2,0,2,0.09,0.055,
scholl_tonge70_n=70,70,scenario_intermediate_scholl_tonge70_n=70.json,intermediate,2,3,2,2,100.0,779.0,738.0,5.3,2424.0,2367.0,2.4,251.59,238.11,5.4,1,0,1,0,1,0,2,0.145,0.028,
scholl_tonge70_n=70,70,scenario_simple_scholl_tonge70_n=70.json,simple,1,1,2,2,100.0,779.0,779.0,0.0,2424.0,2424.0,0.0,251.59,251.59,0.0,0,1,0,0,0,0,0,0.119,0.016,
scholl_warnecke_n=58,58,scenario_complex_scholl_warnecke_n=58.json,complex,3,2,1,1,100.0,252.0,252.0,0.0,329.0,329.0,0.0,82.9,82.9,0.0,0,2,0,0,0,0,0,0.026,0.028,
scholl_warnecke_n=58,58,scenario_intermediate_scholl_warnecke_n=58.json,intermediate,2,3,1,1,100.0,252.0,201.0,20.2,329.0,320.0,2.7,82.9,68.08,17.9,0,0,2,0,1,1,1,0.029,0.045,
scholl_warnecke_n=58,58,scenario_simple_scholl_warnecke_n=58.json,simple,1,1,1,1,100.0,252.0,228.0,9.5,329.0,317.0,3.6,82.9,74.94,9.6,1,0,0,0,0,0,1,0.025,0.015,
scholl_wee-mag_n=75,75,scenario_complex_scholl_wee-mag_n=75.json,complex,3,3,1,1,100.0,316.0,254.0,19.6,323.0,252.0,22.0,104.26,83.83,19.6,3,0,0,0,0,0,3,0.035,0.041,
scholl_wee-mag_n=75,75,scenario_intermediate_scholl_wee-mag_n=75.json,intermediate,2,3,1,1,100.0,316.0,316.0,0.0,323.0,323.0,0.0,104.26,104.26,0.0,1,1,0,0,1,0,0,0.04,0.029,
scholl_wee-mag_n=75,75,scenario_simple_scholl_wee-mag_n=75.json,simple,1,1,1,1,100.0,316.0,316.0,0.0,323.0,323.0,0.0,104.26,104.26,0.0,0,1,0,0,0,0,0,0.036,0.028,
